angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.02,,"[571, 193, 339, 403]",,0.0,,0.01,,0.42,,0.54,,0.01,,0.0,
0.01,,"[572, 196, 337, 401]",,0.0,,0.01,,0.45,,0.5,,0.02,,0.0,
0.02,,"[569, 188, 338, 414]",,0.0,,0.01,,0.57,,0.38,,0.02,,0.01,
0.01,,"[574, 203, 340, 405]",,0.0,,0.03,,0.62,,0.28,,0.03,,0.03,
0.02,,"[562, 196, 340, 405]",,0.0,,0.02,,0.55,,0.35,,0.05,,0.01,
0.01,,"[565, 183, 335, 407]",,0.0,,0.03,,0.52,,0.37,,0.05,,0.01,
0.02,,"[553, 189, 338, 407]",,0.0,,0.04,,0.48,,0.41,,0.05,,0.01,
0.04,,"[558, 203, 344, 407]",,0.0,,0.04,,0.3,,0.53,,0.09,,0.01,
0.08,,"[560, 200, 342, 409]",,0.0,,0.08,,0.12,,0.58,,0.12,,0.02,
0.03,,"[554, 200, 348, 411]",,0.0,,0.06,,0.48,,0.34,,0.07,,0.02,
0.16,,"[558, 190, 323, 375]",,0.0,,0.14,,0.13,,0.27,,0.28,,0.01,
0.07,,"[559, 143, 350, 435]",,0.0,,0.13,,0.42,,0.25,,0.11,,0.03,
0.08,,"[556, 147, 349, 429]",,0.0,,0.17,,0.21,,0.36,,0.18,,0.01,
0.21,,"[561, 160, 343, 402]",,0.0,,0.07,,0.03,,0.28,,0.42,,0.0,
0.07,,"[559, 139, 349, 412]",,0.0,,0.12,,0.01,,0.57,,0.21,,0.0,
0.08,,"[566, 146, 345, 416]",,0.0,,0.1,,0.07,,0.34,,0.4,,0.01,
0.17,,"[561, 141, 344, 419]",,0.0,,0.12,,0.09,,0.31,,0.31,,0.01,
0.03,,"[561, 131, 356, 447]",,0.0,,0.06,,0.61,,0.16,,0.14,,0.01,
0.05,,"[557, 130, 354, 446]",,0.0,,0.09,,0.2,,0.45,,0.21,,0.01,
0.07,,"[560, 158, 334, 412]",,0.0,,0.09,,0.06,,0.35,,0.41,,0.01,
0.09,,"[562, 156, 335, 411]",,0.0,,0.12,,0.1,,0.36,,0.32,,0.01,
0.02,,"[561, 132, 349, 441]",,0.0,,0.04,,0.79,,0.1,,0.04,,0.01,
0.02,,"[560, 135, 347, 438]",,0.0,,0.07,,0.7,,0.15,,0.05,,0.01,
0.1,,"[559, 125, 350, 439]",,0.0,,0.15,,0.05,,0.49,,0.2,,0.01,
0.1,,"[554, 129, 354, 443]",,0.0,,0.12,,0.03,,0.43,,0.31,,0.02,
0.07,,"[554, 130, 356, 437]",,0.0,,0.06,,0.04,,0.55,,0.26,,0.02,
0.06,,"[561, 144, 343, 413]",,0.0,,0.03,,0.01,,0.61,,0.29,,0.01,
0.06,,"[558, 133, 347, 429]",,0.0,,0.06,,0.04,,0.48,,0.36,,0.01,
